Message ID,Subject,Message,Spam/Ham,Date
<msg0@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #0,Ham,2022-10-24
<msg1@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #1,Ham,2022-04-12
<msg2@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #2,Ham,2022-12-06
<msg3@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #3",Ham,2022-11-09
<msg4@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #4",Ham,2022-03-30
<msg5@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #5,Ham,2022-12-21
<msg6@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #6,Ham,2022-01-09
<msg7@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #7,Ham,2022-05-31
<msg8@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #8",Ham,2022-11-24
<msg9@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #9,Ham,2022-05-02
<msg10@enron.com>,Meeting Reminder,"Hi John, please find the attached report for this week. #10",Ham,2022-02-01
<msg11@enron.com>,Project Update,"Hi John, please find the attached report for this week. #11",Ham,2022-08-23
<msg12@enron.com>,Project Update,"Hi John, please find the attached report for this week. #12",Ham,2022-10-24
<msg13@enron.com>,Client Feedback,Please send the updated design documents by EOD. #13,Ham,2022-10-21
<msg14@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #14",Ham,2022-02-14
<msg15@enron.com>,Weekly Report,The meeting is scheduled for 10 AM tomorrow in the main conference room. #15,Ham,2022-07-25
<msg16@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #16,Ham,2022-03-14
<msg17@enron.com>,Project Update,Please send the updated design documents by EOD. #17,Ham,2022-09-18
<msg18@enron.com>,Client Feedback,I've attached the invoice for last month. Let me know if you have any questions. #18,Ham,2022-09-18
<msg19@enron.com>,Client Feedback,Thank you for your feedback on the latest draft. #19,Ham,2022-04-18
<msg20@enron.com>,Invoice Attached,"Hi John, please find the attached report for this week. #20",Ham,2022-05-21
<msg21@enron.com>,Client Feedback,"Hi John, please find the attached report for this week. #21",Ham,2022-11-30
<msg22@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #22",Ham,2022-06-13
<msg23@enron.com>,Invoice Attached,I've attached the invoice for last month. Let me know if you have any questions. #23,Ham,2022-10-19
<msg24@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #24,Ham,2022-12-11
<msg25@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #25,Ham,2022-05-27
<msg26@enron.com>,Meeting Reminder,I've attached the invoice for last month. Let me know if you have any questions. #26,Ham,2022-05-12
<msg27@enron.com>,Weekly Report,Thank you for your feedback on the latest draft. #27,Ham,2022-08-12
<msg28@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #28,Ham,2022-11-25
<msg29@enron.com>,Project Update,I've attached the invoice for last month. Let me know if you have any questions. #29,Ham,2022-08-30
<msg30@enron.com>,Meeting Reminder,Please send the updated design documents by EOD. #30,Ham,2022-07-14
<msg31@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #31",Ham,2022-04-06
<msg32@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #32",Ham,2022-08-11
<msg33@enron.com>,Invoice Attached,Please send the updated design documents by EOD. #33,Ham,2022-11-02
<msg34@enron.com>,Meeting Reminder,Thank you for your feedback on the latest draft. #34,Ham,2022-11-18
<msg35@enron.com>,Client Feedback,Please send the updated design documents by EOD. #35,Ham,2022-07-09
<msg36@enron.com>,Weekly Report,I've attached the invoice for last month. Let me know if you have any questions. #36,Ham,2022-01-04
<msg37@enron.com>,Weekly Report,"Hi John, please find the attached report for this week. #37",Ham,2022-11-11
<msg38@enron.com>,Invoice Attached,Thank you for your feedback on the latest draft. #38,Ham,2022-11-19
<msg39@enron.com>,Client Feedback,The meeting is scheduled for 10 AM tomorrow in the main conference room. #39,Ham,2022-04-20
