text_combined,label
Your account has been suspended. Click here to verify: http://phishingsite.com #0,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #1",1
Win a free iPhone! Just click this link: http://scamoffer.net #2,1
Win a free iPhone! Just click this link: http://scamoffer.net #3,1
Your account has been suspended. Click here to verify: http://phishingsite.com #4,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #5",1
You've received a payment of $1000. Claim now: http://fakepay.com #6,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #7",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #8,1
Your account has been suspended. Click here to verify: http://phishingsite.com #9,1
Win a free iPhone! Just click this link: http://scamoffer.net #10,1
Your account has been suspended. Click here to verify: http://phishingsite.com #11,1
You've received a payment of $1000. Claim now: http://fakepay.com #12,1
Your account has been suspended. Click here to verify: http://phishingsite.com #13,1
Your account has been suspended. Click here to verify: http://phishingsite.com #14,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #15,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #16,1
Win a free iPhone! Just click this link: http://scamoffer.net #17,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #18",1
Win a free iPhone! Just click this link: http://scamoffer.net #19,1
You've received a payment of $1000. Claim now: http://fakepay.com #20,1
Your account has been suspended. Click here to verify: http://phishingsite.com #21,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #22",1
You've received a payment of $1000. Claim now: http://fakepay.com #23,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #24,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #25",1
Win a free iPhone! Just click this link: http://scamoffer.net #26,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #27",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #28,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #29,1
Your account has been suspended. Click here to verify: http://phishingsite.com #30,1
Win a free iPhone! Just click this link: http://scamoffer.net #31,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #32,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #33,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #34",1
You've received a payment of $1000. Claim now: http://fakepay.com #35,1
Win a free iPhone! Just click this link: http://scamoffer.net #36,1
You've received a payment of $1000. Claim now: http://fakepay.com #37,1
Win a free iPhone! Just click this link: http://scamoffer.net #38,1
Your account has been suspended. Click here to verify: http://phishingsite.com #39,1
Your account has been suspended. Click here to verify: http://phishingsite.com #40,1
You've received a payment of $1000. Claim now: http://fakepay.com #41,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #42",1
Your account has been suspended. Click here to verify: http://phishingsite.com #43,1
Win a free iPhone! Just click this link: http://scamoffer.net #44,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #45,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #46",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #47",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #48",1
You've received a payment of $1000. Claim now: http://fakepay.com #49,1
Your account has been suspended. Click here to verify: http://phishingsite.com #50,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #51",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #52",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #53,1
Win a free iPhone! Just click this link: http://scamoffer.net #54,1
You've received a payment of $1000. Claim now: http://fakepay.com #55,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #56",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #57,1
You've received a payment of $1000. Claim now: http://fakepay.com #58,1
Your account has been suspended. Click here to verify: http://phishingsite.com #59,1
Your account has been suspended. Click here to verify: http://phishingsite.com #60,1
Win a free iPhone! Just click this link: http://scamoffer.net #61,1
Your account has been suspended. Click here to verify: http://phishingsite.com #62,1
Win a free iPhone! Just click this link: http://scamoffer.net #63,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #64,1
Win a free iPhone! Just click this link: http://scamoffer.net #65,1
Your account has been suspended. Click here to verify: http://phishingsite.com #66,1
Win a free iPhone! Just click this link: http://scamoffer.net #67,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #68",1
Win a free iPhone! Just click this link: http://scamoffer.net #69,1
Win a free iPhone! Just click this link: http://scamoffer.net #70,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #71",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #72",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #73",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #74,1
Your account has been suspended. Click here to verify: http://phishingsite.com #75,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #76",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #77",1
Win a free iPhone! Just click this link: http://scamoffer.net #78,1
You've received a payment of $1000. Claim now: http://fakepay.com #79,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #80",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #81,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #82,1
You've received a payment of $1000. Claim now: http://fakepay.com #83,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #84",1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #85,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #86,1
You've received a payment of $1000. Claim now: http://fakepay.com #87,1
You've received a payment of $1000. Claim now: http://fakepay.com #88,1
Win a free iPhone! Just click this link: http://scamoffer.net #89,1
Your account has been suspended. Click here to verify: http://phishingsite.com #90,1
You've received a payment of $1000. Claim now: http://fakepay.com #91,1
You've received a payment of $1000. Claim now: http://fakepay.com #92,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #93",1
"Dear user, we've detected unusual activity. Verify your identity immediately. #94",1
Your account has been suspended. Click here to verify: http://phishingsite.com #95,1
Win a free iPhone! Just click this link: http://scamoffer.net #96,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #97",1
Your account has been suspended. Click here to verify: http://phishingsite.com #98,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #99",1
Your account has been suspended. Click here to verify: http://phishingsite.com #100,1
Your account has been suspended. Click here to verify: http://phishingsite.com #101,1
Your account has been suspended. Click here to verify: http://phishingsite.com #102,1
Win a free iPhone! Just click this link: http://scamoffer.net #103,1
Win a free iPhone! Just click this link: http://scamoffer.net #104,1
"Dear user, we've detected unusual activity. Verify your identity immediately. #105",1
You've received a payment of $1000. Claim now: http://fakepay.com #106,1
Win a free iPhone! Just click this link: http://scamoffer.net #107,1
Win a free iPhone! Just click this link: http://scamoffer.net #108,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #109,1
You've received a payment of $1000. Claim now: http://fakepay.com #110,1
Urgent! Your bank account is compromised. Login now: http://fakebank.com #111,1
